epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.298,2.60422,2.46644,1.94137,0.28835,0.28229,0.26644,0.10115,2.13034,1.63581,1.63361,0.00332538,0.00332538,0.00332538
2,222.888,1.96328,1.50168,1.37673,0.82857,0.32338,0.31805,0.13925,1.89182,1.37397,1.42808,0.00662575,0.00662575,0.00662575
3,333.344,1.91739,1.411,1.33337,0.84458,0.36122,0.34896,0.16428,1.80456,1.25411,1.3632,0.00989312,0.00989312,0.00989312
4,443.723,1.86732,1.32034,1.30986,0.84868,0.36494,0.39993,0.17435,1.78416,1.20888,1.36098,0.0098515,0.0098515,0.0098515
5,554.02,1.80709,1.23099,1.28045,0.84264,0.35978,0.34983,0.16047,1.84829,1.20401,1.41725,0.009802,0.009802,0.009802
6,664.23,1.76351,1.18321,1.26715,0.86426,0.34794,0.3557,0.17466,1.75572,1.18452,1.34703,0.0097525,0.0097525,0.0097525
7,774.335,1.72669,1.1501,1.2495,0.85503,0.37305,0.36389,0.17832,1.73035,1.10655,1.34719,0.009703,0.009703,0.009703
8,884.626,1.69518,1.11294,1.23676,0.85728,0.36785,0.37478,0.17704,1.80072,1.08324,1.39787,0.0096535,0.0096535,0.0096535
9,994.79,1.67733,1.09702,1.2257,0.85634,0.37831,0.37105,0.18565,1.71327,1.0666,1.34986,0.009604,0.009604,0.009604
10,1105.1,1.65994,1.07504,1.21973,0.85218,0.37681,0.37074,0.18562,1.7085,1.06287,1.33094,0.0095545,0.0095545,0.0095545
11,1215.33,1.62688,1.05787,1.20788,0.85319,0.36926,0.36733,0.17721,1.76336,1.06102,1.37655,0.009505,0.009505,0.009505
12,1325.69,1.61592,1.03511,1.19879,0.8494,0.37531,0.37041,0.17668,1.77112,1.08183,1.39655,0.0094555,0.0094555,0.0094555
13,1436.05,1.59846,1.02285,1.19513,0.85775,0.38017,0.37177,0.18417,1.71589,1.0455,1.34575,0.009406,0.009406,0.009406
14,1546.35,1.57574,1.00884,1.18511,0.84999,0.37657,0.36858,0.17993,1.74155,1.04545,1.36985,0.0093565,0.0093565,0.0093565
15,1656.62,1.5715,1.00145,1.17974,0.85576,0.37352,0.36853,0.17674,1.76559,1.04285,1.37223,0.009307,0.009307,0.009307
16,1766.71,1.54525,0.98794,1.17623,0.85322,0.37728,0.37172,0.18365,1.72327,1.02764,1.3694,0.0092575,0.0092575,0.0092575
17,1876.79,1.53733,0.98048,1.1696,0.85654,0.37418,0.37161,0.18142,1.75674,1.03645,1.3811,0.009208,0.009208,0.009208
18,1986.92,1.52847,0.97036,1.16371,0.85229,0.37946,0.3705,0.18381,1.73337,1.02369,1.36312,0.0091585,0.0091585,0.0091585
19,2097.05,1.5178,0.96196,1.15809,0.85017,0.37507,0.36815,0.17952,1.75547,1.03834,1.37114,0.009109,0.009109,0.009109
20,2207.41,1.49727,0.94371,1.15069,0.85392,0.37945,0.37392,0.18308,1.75407,1.01059,1.38438,0.0090595,0.0090595,0.0090595
21,2317.6,1.48624,0.93345,1.14852,0.85058,0.37305,0.36782,0.1807,1.76376,1.03016,1.39272,0.00901,0.00901,0.00901
22,2427.84,1.47682,0.92591,1.14584,0.84996,0.38133,0.37283,0.18368,1.75491,1.02015,1.38795,0.0089605,0.0089605,0.0089605
23,2537.98,1.46432,0.91327,1.14115,0.85316,0.37454,0.3758,0.18625,1.75011,1.03369,1.38901,0.008911,0.008911,0.008911
24,2648.32,1.44887,0.90873,1.13128,0.85207,0.37498,0.36563,0.17907,1.75751,1.02711,1.37582,0.0088615,0.0088615,0.0088615
25,2758.56,1.44474,0.90078,1.12886,0.85328,0.37747,0.36253,0.17613,1.75835,1.03347,1.38527,0.008812,0.008812,0.008812
26,2868.72,1.4324,0.89735,1.1255,0.84475,0.38156,0.36421,0.18054,1.75007,1.01614,1.39681,0.0087625,0.0087625,0.0087625
27,2978.93,1.42566,0.88711,1.12227,0.85239,0.37239,0.36693,0.1786,1.77086,1.01816,1.40208,0.008713,0.008713,0.008713
28,3089.21,1.41421,0.87972,1.11505,0.84803,0.37085,0.36431,0.17814,1.78435,1.02588,1.40085,0.0086635,0.0086635,0.0086635
29,3199.41,1.40458,0.872,1.11618,0.85485,0.36806,0.36196,0.17655,1.77301,1.05492,1.40049,0.008614,0.008614,0.008614
30,3309.68,1.4,0.867,1.11533,0.84966,0.37424,0.36761,0.1767,1.79071,1.01428,1.42047,0.0085645,0.0085645,0.0085645
31,3419.86,1.39007,0.86507,1.11074,0.84806,0.37412,0.36178,0.1777,1.76355,1.01967,1.39697,0.008515,0.008515,0.008515
32,3530.06,1.38297,0.85588,1.10291,0.84867,0.37717,0.36665,0.17892,1.7767,1.00387,1.40216,0.0084655,0.0084655,0.0084655
33,3640.34,1.37283,0.85189,1.10205,0.84855,0.37141,0.36017,0.1762,1.77666,1.02395,1.40423,0.008416,0.008416,0.008416
34,3750.67,1.37389,0.8457,1.10044,0.84918,0.37006,0.36437,0.17601,1.78805,1.03608,1.40902,0.0083665,0.0083665,0.0083665
35,3860.86,1.35566,0.84275,1.09694,0.85029,0.37196,0.36553,0.18042,1.7721,1.01648,1.4065,0.008317,0.008317,0.008317
36,3971.1,1.35181,0.83482,1.09492,0.84643,0.37735,0.36446,0.1785,1.782,1.00481,1.41406,0.0082675,0.0082675,0.0082675
37,4081.29,1.34563,0.8301,1.09154,0.84793,0.37214,0.36482,0.17831,1.79217,1.0272,1.42306,0.008218,0.008218,0.008218
38,4191.52,1.3384,0.82308,1.08938,0.85309,0.37256,0.36253,0.1778,1.78306,1.02101,1.40511,0.0081685,0.0081685,0.0081685
39,4301.64,1.32362,0.81443,1.08265,0.84708,0.37693,0.36229,0.17677,1.78909,1.01778,1.42169,0.008119,0.008119,0.008119
40,4411.82,1.31702,0.81527,1.08048,0.84597,0.37358,0.36165,0.18012,1.76929,1.02585,1.40939,0.0080695,0.0080695,0.0080695
41,4521.83,1.31554,0.80973,1.08548,0.84775,0.36821,0.35923,0.17604,1.78737,1.03299,1.4325,0.00802,0.00802,0.00802
42,4632.02,1.30954,0.80512,1.07426,0.84957,0.36878,0.35735,0.17495,1.79281,1.02493,1.42845,0.0079705,0.0079705,0.0079705
43,4742.18,1.30585,0.80457,1.07514,0.84958,0.36818,0.3608,0.17636,1.80613,1.02083,1.42417,0.007921,0.007921,0.007921
