epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.035,2.50587,2.7083,2.04423,0.30065,0.31234,0.30034,0.12786,1.96976,1.5532,1.53978,0.00333134,0.00333134,0.00333134
2,489.713,1.94683,1.61038,1.44889,0.3338,0.33783,0.33489,0.15526,1.8399,1.3463,1.3961,0.00663169,0.00663169,0.00663169
3,733.156,1.9191,1.5244,1.40798,0.33879,0.33783,0.33615,0.16084,1.80148,1.31495,1.41629,0.00989903,0.00989903,0.00989903
4,976.397,1.86452,1.42942,1.38036,0.84074,0.35825,0.34673,0.16458,1.80236,1.24382,1.39494,0.0098515,0.0098515,0.0098515
5,1219.73,1.81275,1.33579,1.34775,0.84809,0.36968,0.38134,0.1811,1.76839,1.1928,1.36577,0.009802,0.009802,0.009802
6,1462.7,1.77361,1.2753,1.33659,0.8579,0.35498,0.35685,0.17365,1.76188,1.19002,1.38102,0.0097525,0.0097525,0.0097525
7,1705.65,1.73607,1.23713,1.32435,0.8536,0.36902,0.36759,0.18451,1.71503,1.16023,1.34809,0.009703,0.009703,0.009703
8,1948.54,1.71257,1.20673,1.31027,0.85506,0.37334,0.36267,0.17799,1.73349,1.15308,1.37792,0.0096535,0.0096535,0.0096535
9,2191.68,1.69298,1.1813,1.30409,0.85516,0.36986,0.36471,0.18338,1.70873,1.1278,1.35872,0.009604,0.009604,0.009604
10,2434.81,1.67368,1.15546,1.29559,0.85724,0.36874,0.36962,0.17921,1.75987,1.11711,1.39101,0.0095545,0.0095545,0.0095545
11,2677.88,1.65446,1.13602,1.2866,0.85295,0.37651,0.36578,0.17556,1.76141,1.13868,1.3944,0.009505,0.009505,0.009505
12,2921.22,1.63583,1.11889,1.27562,0.85703,0.37876,0.37371,0.18524,1.7158,1.08724,1.35694,0.0094555,0.0094555,0.0094555
13,3164.45,1.61574,1.09467,1.27103,0.8567,0.3638,0.3603,0.17474,1.75543,1.11893,1.39689,0.009406,0.009406,0.009406
14,3407.58,1.59908,1.08677,1.26449,0.84989,0.37106,0.35681,0.17353,1.76359,1.11221,1.41249,0.0093565,0.0093565,0.0093565
15,3650.72,1.59025,1.07435,1.25571,0.86332,0.37501,0.36829,0.18026,1.722,1.08207,1.37185,0.009307,0.009307,0.009307
16,3893.82,1.57239,1.05803,1.25315,0.85904,0.37615,0.36942,0.18313,1.72956,1.08371,1.38192,0.0092575,0.0092575,0.0092575
17,4136.81,1.55645,1.04705,1.24586,0.85516,0.37585,0.36478,0.17707,1.7603,1.07786,1.40945,0.009208,0.009208,0.009208
18,4379.89,1.54907,1.03485,1.2425,0.85089,0.37752,0.366,0.18044,1.72956,1.06858,1.3811,0.0091585,0.0091585,0.0091585
19,4622.95,1.54329,1.03281,1.2383,0.85787,0.37163,0.36443,0.17964,1.73228,1.08066,1.40374,0.009109,0.009109,0.009109
20,4866.2,1.52744,1.01208,1.23366,0.85073,0.3743,0.35929,0.17581,1.75736,1.08219,1.42357,0.0090595,0.0090595,0.0090595
21,5109.59,1.51691,1.01093,1.22973,0.8581,0.3668,0.36618,0.1788,1.77724,1.07293,1.42357,0.00901,0.00901,0.00901
22,5352.8,1.50168,0.99018,1.22069,0.86042,0.37184,0.3679,0.18129,1.75885,1.06979,1.4021,0.0089605,0.0089605,0.0089605
23,5596.21,1.48895,0.98175,1.20937,0.85892,0.36877,0.36387,0.17677,1.77408,1.073,1.41582,0.008911,0.008911,0.008911
24,5839.94,1.47657,0.96581,1.20901,0.85935,0.3707,0.36488,0.1796,1.74015,1.0631,1.39809,0.0088615,0.0088615,0.0088615
25,6083.39,1.46621,0.96313,1.20244,0.85614,0.37161,0.36956,0.18423,1.72748,1.0585,1.39735,0.008812,0.008812,0.008812
26,6326.71,1.45882,0.95764,1.19969,0.85435,0.37717,0.36683,0.18011,1.75494,1.04971,1.42262,0.0087625,0.0087625,0.0087625
27,6570,1.44723,0.94821,1.19549,0.85169,0.37047,0.36442,0.17826,1.76175,1.05825,1.42092,0.008713,0.008713,0.008713
28,6813.64,1.43865,0.93434,1.18761,0.85304,0.36722,0.36424,0.17869,1.76938,1.05553,1.42704,0.0086635,0.0086635,0.0086635
29,7057.15,1.42326,0.92878,1.18184,0.8503,0.36512,0.35904,0.17505,1.76514,1.06452,1.43095,0.008614,0.008614,0.008614
30,7300.46,1.42246,0.9264,1.18436,0.85339,0.36994,0.35931,0.17481,1.7762,1.07193,1.43429,0.0085645,0.0085645,0.0085645
31,7543.87,1.41796,0.92118,1.18214,0.85271,0.36622,0.36081,0.17756,1.76354,1.05614,1.43212,0.008515,0.008515,0.008515
32,7787.18,1.40331,0.90722,1.17425,0.84938,0.36986,0.35916,0.17402,1.78051,1.06918,1.43499,0.0084655,0.0084655,0.0084655
