epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.63747,5.41359,4.79534,2.92432,0.00028,0.00319,0.00076,0.00015,5.54565,4.40245,2.98779,0.0901,0.0011,0.0011
2,8.255,4.9602,3.84222,2.69486,0.00704,0.10989,0.00526,0.00198,5.80806,4.54077,3.17375,0.0792886,0.00228861,0.00228861
3,11.8259,4.27233,2.93065,2.33921,0.00323,0.11978,0.01397,0.00381,5.72882,4.73831,3.11715,0.0684654,0.00346535,0.00346535
4,15.4069,3.83148,2.70138,2.07526,0.00555,0.11356,0.0047,0.00148,5.13305,4.30962,2.87361,0.0576302,0.0046302,0.0046302
5,18.963,3.62087,2.72494,1.96366,0.02641,0.24195,0.05078,0.01522,4.23282,3.71347,2.54864,0.0467832,0.00578318,0.00578318
6,22.5403,3.40368,2.74095,1.86681,0.04019,0.35375,0.10786,0.03143,4.04978,3.44205,2.41408,0.0359243,0.00692427,0.00692427
7,26.0943,3.23077,2.37781,1.76705,0.04287,0.41826,0.10669,0.03076,4.02326,2.73199,2.40475,0.0250535,0.00805349,0.00805349
8,29.6558,3.35121,2.18871,1.81274,0.64424,0.17145,0.17255,0.05006,3.5396,2.33741,2.14844,0.0141708,0.00917082,0.00917082
9,33.2645,3.08093,2.70508,1.63901,0.7426,0.2488,0.23512,0.07792,3.32101,2.5166,1.80345,0.009604,0.009604,0.009604
10,36.8547,3.05659,3.00244,1.60868,0.04042,0.30048,0.0337,0.0093,3.5466,2.58971,2.02037,0.0095545,0.0095545,0.0095545
11,40.4871,3.22328,2.67345,1.79508,0.59049,0.16667,0.08666,0.02111,3.60578,2.97487,2.68927,0.009505,0.009505,0.009505
12,44.0785,3.07001,2.34498,1.71615,0.14842,0.41356,0.18917,0.04878,3.36201,3.2206,2.24484,0.0094555,0.0094555,0.0094555
13,47.6088,3.06848,2.20782,1.79145,0.25948,0.21195,0.15939,0.04438,3.12366,2.42161,1.90927,0.009406,0.009406,0.009406
14,51.1774,2.88659,2.24181,1.55452,0.19711,0.23429,0.17568,0.05526,3.25727,2.63628,1.95812,0.0093565,0.0093565,0.0093565
15,54.7729,2.86581,2.05995,1.57553,0.7078,0.20654,0.25463,0.08844,2.88621,2.16543,1.68223,0.009307,0.009307,0.009307
16,58.3698,2.74312,2.00976,1.4692,0.7509,0.17464,0.20115,0.07205,3.02706,2.50157,1.79301,0.0092575,0.0092575,0.0092575
17,61.9407,2.79408,1.89843,1.54269,0.31539,0.38285,0.25753,0.08215,3.05103,1.9146,1.89557,0.009208,0.009208,0.009208
18,65.4878,2.94455,1.80934,1.62539,0.73534,0.23445,0.2385,0.08424,3.05499,2.14786,1.90042,0.0091585,0.0091585,0.0091585
19,69.1024,2.76412,1.93847,1.55693,0.19345,0.22727,0.25514,0.07967,3.2851,2.3988,1.92199,0.009109,0.009109,0.009109
20,72.6981,2.71226,1.80895,1.52125,0.25919,0.32392,0.25494,0.08495,2.86739,2.06498,1.73163,0.0090595,0.0090595,0.0090595
21,76.2849,2.76643,1.79399,1.50019,0.31777,0.5071,0.38579,0.14462,2.76284,2.22014,1.63611,0.00901,0.00901,0.00901
22,79.8653,2.71209,1.65289,1.47869,0.39413,0.40231,0.37838,0.13022,2.93977,1.74993,1.68227,0.0089605,0.0089605,0.0089605
23,83.4348,2.70181,1.64309,1.47288,0.40041,0.42081,0.37311,0.13059,2.96552,1.76954,1.66321,0.008911,0.008911,0.008911
24,86.9927,2.64901,1.63118,1.44038,0.30932,0.30941,0.35618,0.14244,2.69395,1.92419,1.59897,0.0088615,0.0088615,0.0088615
25,90.5281,2.64221,1.67313,1.43621,0.50158,0.42592,0.43236,0.16593,2.73797,1.67281,1.57116,0.008812,0.008812,0.008812
26,94.1399,2.64845,1.56574,1.41539,0.44427,0.40138,0.39989,0.13158,3.04807,1.69228,1.69126,0.0087625,0.0087625,0.0087625
27,97.73,2.61327,1.52715,1.41824,0.52524,0.4088,0.42675,0.13918,2.92326,1.73014,1.66556,0.008713,0.008713,0.008713
28,101.307,2.62864,1.54845,1.4048,0.52057,0.36021,0.41627,0.15508,2.90186,1.615,1.64055,0.0086635,0.0086635,0.0086635
29,104.891,2.57196,1.53558,1.39052,0.45478,0.42531,0.36409,0.11263,3.36502,1.83438,1.89748,0.008614,0.008614,0.008614
30,108.431,2.61107,1.48976,1.41924,0.4685,0.45808,0.44231,0.16739,2.72618,1.55054,1.54657,0.0085645,0.0085645,0.0085645
31,112.021,2.57003,1.44413,1.3926,0.45215,0.41754,0.42221,0.15855,2.72898,1.5721,1.53797,0.008515,0.008515,0.008515
32,115.594,2.60607,1.45559,1.40986,0.49855,0.43134,0.43751,0.16907,2.75236,1.51649,1.5511,0.0084655,0.0084655,0.0084655
33,119.166,2.52061,1.42292,1.38554,0.44099,0.46174,0.42085,0.15622,2.91079,1.58337,1.60758,0.008416,0.008416,0.008416
34,122.782,2.51808,1.38341,1.34351,0.44298,0.41919,0.39505,0.14821,2.87449,1.63215,1.61748,0.0083665,0.0083665,0.0083665
35,126.343,2.59125,1.45612,1.3892,0.50308,0.43812,0.41218,0.14897,2.89861,1.60825,1.60778,0.008317,0.008317,0.008317
36,129.91,2.5063,1.38259,1.36076,0.45749,0.48361,0.42114,0.16211,2.74743,1.50734,1.56272,0.0082675,0.0082675,0.0082675
37,133.457,2.51588,1.40162,1.36623,0.55113,0.46077,0.45153,0.17843,2.66559,1.47837,1.52396,0.008218,0.008218,0.008218
38,137.05,2.52679,1.37551,1.36884,0.48275,0.47814,0.42299,0.15295,2.88377,1.5451,1.60608,0.0081685,0.0081685,0.0081685
39,140.578,2.46887,1.36084,1.34918,0.4717,0.41986,0.40881,0.14638,2.87829,1.54975,1.60454,0.008119,0.008119,0.008119
40,144.118,2.44349,1.34762,1.3433,0.50624,0.49242,0.47939,0.19718,2.6189,1.42073,1.4909,0.0080695,0.0080695,0.0080695
41,147.689,2.48283,1.35149,1.34713,0.5297,0.47743,0.46974,0.18724,2.62736,1.42634,1.49937,0.00802,0.00802,0.00802
42,151.233,2.48626,1.3401,1.34249,0.52087,0.44912,0.46506,0.17476,2.82977,1.50479,1.57364,0.0079705,0.0079705,0.0079705
43,154.798,2.42829,1.33951,1.33867,0.46658,0.49896,0.45136,0.16452,2.72522,1.50124,1.55978,0.007921,0.007921,0.007921
44,158.262,2.38991,1.31368,1.29825,0.50251,0.46037,0.47086,0.18345,2.83289,1.4852,1.59026,0.0078715,0.0078715,0.0078715
45,161.835,2.47299,1.32774,1.34969,0.55305,0.51167,0.48946,0.1777,2.84818,1.41799,1.59865,0.007822,0.007822,0.007822
