epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1623,2.56287,0.2762,2.67856,0.02857,0.05343,0.00731,0.00181,2.32816,0.2045,1.31967,0.00038341,0.00038341,0.00038341
2,24.5609,2.06934,0.20041,1.22967,0.55892,0.06459,0.02624,0.00815,2.22718,0.17935,1.03197,0.000779612,0.000779612,0.000779612
3,36.0946,1.79889,0.2624,0.60004,0.17609,0.20295,0.12556,0.04553,1.40168,0.39019,0.50622,0.00117185,0.00117185,0.00117185
4,47.5466,1.44966,0.46973,0.44533,0.65811,0.2177,0.17532,0.06415,0.92788,0.97798,0.34402,0.00156013,0.00156013,0.00156013
5,58.9876,1.21397,0.65366,0.30557,0.21935,0.263,0.22029,0.09114,1.18876,0.58012,0.40801,0.00163399,0.00163399,0.00163399
6,70.4382,1.27649,0.48851,0.29769,0.29013,0.31225,0.2765,0.11923,1.03779,0.64339,0.33742,0.00162574,0.00162574,0.00162574
7,81.8868,1.23923,0.47812,0.3252,0.49078,0.39745,0.33711,0.13512,0.87787,0.56799,0.2706,0.00161749,0.00161749,0.00161749
8,93.3668,1.37994,0.40932,0.34353,0.48229,0.38142,0.24374,0.1069,0.93927,0.64291,0.30521,0.00160924,0.00160924,0.00160924
9,104.722,1.34867,0.47231,0.36851,0.31874,0.31316,0.20939,0.08631,0.94581,0.64819,0.34218,0.00160099,0.00160099,0.00160099
10,116.048,1.34515,0.42648,0.37639,0.3708,0.33501,0.27043,0.11061,0.88195,0.62793,0.27612,0.00159274,0.00159274,0.00159274
11,127.438,1.37987,0.3923,0.40845,0.5452,0.4378,0.36334,0.16806,0.81407,0.64271,0.28975,0.00158448,0.00158448,0.00158448
12,138.892,1.19582,0.47101,0.31938,0.64054,0.43499,0.40788,0.17,0.77848,0.57444,0.27966,0.00157623,0.00157623,0.00157623
13,150.354,1.04545,0.49578,0.26597,0.5635,0.49625,0.43488,0.19377,0.78893,0.67961,0.26298,0.00156798,0.00156798,0.00156798
14,161.76,1.06257,0.55213,0.25614,0.77129,0.41256,0.45213,0.20217,0.8004,0.72105,0.27019,0.00155973,0.00155973,0.00155973
15,173.206,1.05717,0.47297,0.24742,0.76215,0.42695,0.45844,0.18097,0.95536,0.4715,0.3264,0.00155148,0.00155148,0.00155148
16,184.534,1.01554,0.45019,0.23275,0.73889,0.41252,0.44303,0.18738,0.87042,0.51462,0.31936,0.00154323,0.00154323,0.00154323
17,195.875,0.99217,0.46638,0.25904,0.59237,0.42201,0.46404,0.20548,0.75944,0.592,0.263,0.00153497,0.00153497,0.00153497
18,207.327,1.00582,0.48192,0.235,0.4306,0.41268,0.32973,0.11113,0.93817,0.56495,0.32837,0.00152672,0.00152672,0.00152672
19,218.661,1.00383,0.47707,0.2279,0.56318,0.42305,0.40914,0.16396,0.77156,0.54253,0.28265,0.00151847,0.00151847,0.00151847
20,230.036,0.96318,0.46608,0.22458,0.44019,0.46228,0.38919,0.15465,0.80915,0.52813,0.31107,0.00151022,0.00151022,0.00151022
21,241.388,0.90083,0.47224,0.20856,0.60301,0.45016,0.42281,0.15475,0.82986,0.51128,0.28245,0.00150197,0.00150197,0.00150197
22,252.775,0.92503,0.462,0.20377,0.74671,0.44238,0.4878,0.20632,0.76031,0.51791,0.25284,0.00149372,0.00149372,0.00149372
23,264.204,0.85291,0.48589,0.20386,0.72484,0.47057,0.50175,0.20023,0.78352,0.50295,0.25007,0.00148546,0.00148546,0.00148546
24,275.568,0.91806,0.47874,0.21656,0.61791,0.37969,0.42167,0.15182,1.06836,0.42909,0.40019,0.00147721,0.00147721,0.00147721
25,286.871,0.94766,0.4604,0.22728,0.69578,0.49171,0.50766,0.18958,0.86851,0.46984,0.31319,0.00146896,0.00146896,0.00146896
26,298.228,0.93942,0.45284,0.19893,0.76424,0.49234,0.52682,0.2473,0.69926,0.52835,0.23295,0.00146071,0.00146071,0.00146071
27,309.703,0.86655,0.48356,0.19882,0.83128,0.46046,0.52247,0.23622,0.73723,0.52911,0.24942,0.00145246,0.00145246,0.00145246
28,321.033,0.86859,0.4773,0.19258,0.75865,0.46703,0.51089,0.22362,0.72926,0.54433,0.24109,0.00144421,0.00144421,0.00144421
29,332.39,0.873,0.47645,0.19706,0.67483,0.48876,0.51872,0.22806,0.74623,0.51244,0.24514,0.00143595,0.00143595,0.00143595
30,343.714,0.82343,0.47753,0.18731,0.77262,0.45563,0.51134,0.22943,0.75093,0.51049,0.24178,0.0014277,0.0014277,0.0014277
31,355.087,0.83886,0.47948,0.18927,0.72136,0.48461,0.51973,0.23175,0.72751,0.53018,0.22388,0.00141945,0.00141945,0.00141945
32,366.42,0.79177,0.4827,0.17492,0.6553,0.49436,0.51036,0.22687,0.73612,0.52513,0.22142,0.0014112,0.0014112,0.0014112
33,377.771,0.81322,0.47438,0.1701,0.72094,0.49785,0.54151,0.24943,0.70682,0.52289,0.20723,0.00140295,0.00140295,0.00140295
34,389.172,0.79223,0.47448,0.17719,0.63199,0.5,0.52453,0.23832,0.73754,0.50103,0.2422,0.0013947,0.0013947,0.0013947
35,400.528,0.79826,0.46779,0.18126,0.67292,0.49131,0.5384,0.23265,0.76764,0.49075,0.25879,0.00138644,0.00138644,0.00138644
36,411.87,0.773,0.47632,0.17508,0.70371,0.51069,0.55304,0.24853,0.74548,0.49166,0.23831,0.00137819,0.00137819,0.00137819
37,423.327,0.79772,0.46439,0.17567,0.67613,0.48231,0.52102,0.2204,0.81476,0.48466,0.26946,0.00136994,0.00136994,0.00136994
38,434.635,0.75691,0.47658,0.16713,0.68404,0.45925,0.5211,0.20713,0.85336,0.48186,0.27719,0.00136169,0.00136169,0.00136169
39,445.993,0.7962,0.46975,0.17625,0.73791,0.48672,0.54081,0.22559,0.77662,0.50591,0.24972,0.00135344,0.00135344,0.00135344
40,457.283,0.73655,0.48774,0.16022,0.69233,0.51151,0.56758,0.24877,0.75675,0.49992,0.23326,0.00134519,0.00134519,0.00134519
41,468.718,0.77271,0.47251,0.1671,0.72535,0.49467,0.51129,0.19427,0.83588,0.49841,0.26708,0.00133693,0.00133693,0.00133693
42,480.025,0.76555,0.49047,0.17136,0.72102,0.52871,0.55485,0.22579,0.77481,0.50209,0.24444,0.00132868,0.00132868,0.00132868
43,491.369,0.75249,0.4695,0.15969,0.68268,0.52225,0.54709,0.24453,0.83137,0.49147,0.26323,0.00132043,0.00132043,0.00132043
44,502.676,0.74326,0.4639,0.14768,0.69044,0.46889,0.50168,0.2125,0.99103,0.46813,0.32534,0.00131218,0.00131218,0.00131218
45,514.029,0.76532,0.4667,0.16031,0.71239,0.50861,0.54554,0.23398,0.86498,0.46768,0.29562,0.00130393,0.00130393,0.00130393
46,525.365,0.73924,0.46455,0.14299,0.75786,0.50375,0.54768,0.23951,0.81324,0.47998,0.27283,0.00129568,0.00129568,0.00129568
47,536.707,0.72617,0.46317,0.14748,0.79873,0.50149,0.55153,0.23164,0.791,0.49125,0.25049,0.00128742,0.00128742,0.00128742
48,548.046,0.73008,0.48895,0.15961,0.79136,0.49188,0.54282,0.22335,0.81033,0.48599,0.26672,0.00127917,0.00127917,0.00127917
49,559.411,0.7502,0.4592,0.15015,0.65311,0.53971,0.55364,0.22557,0.79669,0.48651,0.26717,0.00127092,0.00127092,0.00127092
50,570.745,0.72743,0.46509,0.14247,0.68375,0.52177,0.56624,0.23966,0.75327,0.49715,0.24751,0.00126267,0.00126267,0.00126267
51,582.077,0.75647,0.46681,0.15734,0.81045,0.47207,0.53232,0.20575,0.83733,0.4794,0.27265,0.00125442,0.00125442,0.00125442
52,593.429,0.81198,0.45842,0.16946,0.73585,0.47351,0.53338,0.21603,0.83991,0.47894,0.27362,0.00124617,0.00124617,0.00124617
53,604.739,0.7136,0.49099,0.15644,0.73842,0.45898,0.51248,0.19182,0.89541,0.48476,0.32307,0.00123791,0.00123791,0.00123791
54,616.074,0.7589,0.48943,0.16101,0.73999,0.46988,0.51498,0.19552,0.89749,0.47049,0.33852,0.00122966,0.00122966,0.00122966
55,627.406,0.74262,0.4944,0.15622,0.60892,0.43344,0.41412,0.15767,0.88992,0.53941,0.28616,0.00122141,0.00122141,0.00122141
56,638.747,0.80286,0.51674,0.15994,0.74809,0.42217,0.46595,0.18327,0.83311,0.55225,0.26497,0.00121316,0.00121316,0.00121316
57,650.095,0.76377,0.50661,0.16422,0.76821,0.50893,0.55336,0.25771,0.70583,0.50983,0.20887,0.00120491,0.00120491,0.00120491
58,661.528,0.75061,0.48726,0.14935,0.70411,0.47743,0.51325,0.21256,0.86193,0.47389,0.28444,0.00119666,0.00119666,0.00119666
59,672.875,0.73877,0.49169,0.16428,0.7313,0.44108,0.50805,0.22259,0.82572,0.48698,0.2606,0.0011884,0.0011884,0.0011884
60,684.172,0.73415,0.4837,0.16396,0.80662,0.49864,0.56253,0.2573,0.7522,0.48944,0.23653,0.00118015,0.00118015,0.00118015
61,695.605,0.71408,0.48233,0.14177,0.80408,0.5244,0.56496,0.26298,0.69061,0.50729,0.21413,0.0011719,0.0011719,0.0011719
62,707.051,0.71558,0.47099,0.14911,0.79649,0.52315,0.57148,0.25503,0.70804,0.49803,0.22555,0.00116365,0.00116365,0.00116365
63,718.407,0.7098,0.47148,0.13849,0.75439,0.50476,0.56552,0.25032,0.71853,0.50439,0.22628,0.0011554,0.0011554,0.0011554
64,729.697,0.65427,0.48818,0.13991,0.76298,0.49343,0.56295,0.24795,0.72937,0.50759,0.22995,0.00114715,0.00114715,0.00114715
65,741.002,0.6728,0.47907,0.13797,0.70256,0.48866,0.53421,0.23018,0.8204,0.4866,0.2602,0.00113889,0.00113889,0.00113889
66,752.354,0.72705,0.46943,0.14746,0.75007,0.48054,0.53552,0.23796,0.83983,0.47906,0.26464,0.00113064,0.00113064,0.00113064
67,763.717,0.70352,0.46706,0.14357,0.75267,0.51459,0.57145,0.25996,0.77435,0.4846,0.23535,0.00112239,0.00112239,0.00112239
68,775.064,0.69822,0.4744,0.13862,0.75524,0.49705,0.56533,0.24629,0.79777,0.48663,0.2434,0.00111414,0.00111414,0.00111414
69,786.427,0.68196,0.47236,0.13332,0.67226,0.49388,0.5385,0.23336,0.79058,0.49327,0.25401,0.00110589,0.00110589,0.00110589
70,797.781,0.68445,0.47262,0.13849,0.7053,0.47639,0.52624,0.21979,0.81025,0.5043,0.26607,0.00109764,0.00109764,0.00109764
71,809.108,0.67033,0.47976,0.13487,0.77708,0.45263,0.51575,0.21853,0.87446,0.49212,0.28475,0.00108938,0.00108938,0.00108938
72,820.446,0.66236,0.47905,0.13343,0.70515,0.46172,0.5084,0.19955,0.93159,0.47601,0.30413,0.00108113,0.00108113,0.00108113
73,831.803,0.67314,0.47101,0.12541,0.67901,0.52648,0.55783,0.24809,0.8133,0.49449,0.25491,0.00107288,0.00107288,0.00107288
74,843.125,0.67377,0.47895,0.14068,0.71454,0.50568,0.55369,0.24206,0.79027,0.50574,0.25346,0.00106463,0.00106463,0.00106463
75,854.464,0.66047,0.48108,0.13231,0.72382,0.44115,0.51937,0.23768,0.85731,0.50033,0.276,0.00105638,0.00105638,0.00105638
76,865.778,0.64442,0.48436,0.1245,0.6527,0.47423,0.52133,0.21886,0.85336,0.48755,0.2706,0.00104813,0.00104813,0.00104813
77,877.128,0.66569,0.4749,0.13119,0.70309,0.52049,0.57746,0.25739,0.76283,0.49329,0.24222,0.00103987,0.00103987,0.00103987
78,888.46,0.63826,0.4719,0.11999,0.80169,0.48969,0.56722,0.25886,0.75931,0.49978,0.24034,0.00103162,0.00103162,0.00103162
79,899.834,0.67165,0.46205,0.12745,0.74771,0.42928,0.50442,0.22961,0.95658,0.46733,0.3141,0.00102337,0.00102337,0.00102337
80,911.157,0.64206,0.47834,0.12082,0.75716,0.48503,0.55013,0.25462,0.82095,0.48406,0.25703,0.00101512,0.00101512,0.00101512
81,922.487,0.62542,0.48219,0.12765,0.61956,0.51252,0.55503,0.24983,0.78636,0.48143,0.25794,0.00100687,0.00100687,0.00100687
