epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.7942,4.01793,4.23792,3.03883,0.0043,0.09219,0.00427,0.00093,3.99022,3.53695,3.04856,0.00018337,0.00018337,0.00018337
2,8.47995,3.45198,3.17871,2.45274,0.00638,0.08118,0.0055,0.00153,3.62827,3.45444,2.97539,0.000381512,0.000381512,0.000381512
3,12.1195,3.01588,2.81476,2.17194,0.0128,0.09266,0.00784,0.0025,3.39499,3.78519,2.73663,0.000577674,0.000577674,0.000577674
4,15.7538,2.85291,2.87604,2.07489,0.04612,0.12241,0.03886,0.00988,3.1946,3.69155,2.60349,0.000771855,0.000771855,0.000771855
5,19.3959,2.94881,3.11127,2.16224,0.01324,0.08628,0.01756,0.00417,2.94574,3.61443,2.57708,0.000964056,0.000964056,0.000964056
6,22.9983,2.74112,2.5552,1.98284,0.03308,0.26986,0.03906,0.01029,3.08161,3.61893,2.63212,0.00115428,0.00115428,0.00115428
7,26.6276,2.55053,2.23517,1.89023,0.64897,0.12679,0.10222,0.03248,2.61971,2.64253,2.33215,0.00134252,0.00134252,0.00134252
8,30.2784,2.50594,2.2078,1.81632,0.67005,0.15391,0.13236,0.04159,2.59121,3.12393,2.33751,0.00152878,0.00152878,0.00152878
9,33.9183,2.61128,2.26085,1.88035,0.09984,0.10742,0.06473,0.01949,2.81217,2.84136,2.50426,0.00160099,0.00160099,0.00160099
10,37.5199,2.49591,2.08682,1.81978,0.65783,0.11962,0.10405,0.03738,2.66086,3.35099,2.44249,0.00159274,0.00159274,0.00159274
11,41.14,2.45817,2.00527,1.80397,0.64177,0.16427,0.11909,0.03703,2.34639,2.31638,2.13282,0.00158448,0.00158448,0.00158448
12,44.7523,2.36205,1.92879,1.72772,0.68426,0.21132,0.1903,0.05925,2.42396,2.37451,2.20225,0.00157623,0.00157623,0.00157623
13,48.345,2.38515,1.97511,1.78994,0.14252,0.15303,0.10538,0.03211,2.46737,2.66883,2.19628,0.00156798,0.00156798,0.00156798
14,51.9678,2.34538,1.87929,1.67604,0.25303,0.24649,0.18127,0.06079,2.37984,2.17494,2.04611,0.00155973,0.00155973,0.00155973
15,55.6175,2.30021,1.82719,1.67034,0.31301,0.33166,0.22871,0.07906,2.33498,1.96561,1.94254,0.00155148,0.00155148,0.00155148
16,59.2357,2.25065,1.73322,1.60267,0.21834,0.20805,0.14044,0.04859,2.47014,2.39467,2.00581,0.00154323,0.00154323,0.00154323
17,62.8592,2.22853,1.73525,1.6176,0.22433,0.27682,0.2137,0.08214,2.36135,2.24031,1.92332,0.00153497,0.00153497,0.00153497
18,66.4791,2.23444,1.73129,1.60928,0.37506,0.26308,0.25112,0.08613,2.31651,1.96894,1.89959,0.00152672,0.00152672,0.00152672
19,70.1588,2.21274,1.74464,1.62511,0.37329,0.35869,0.28664,0.10208,2.27642,1.97206,1.84549,0.00151847,0.00151847,0.00151847
20,73.8317,2.23117,1.73066,1.61228,0.39159,0.42573,0.33691,0.11414,2.25163,2.04567,1.83651,0.00151022,0.00151022,0.00151022
21,77.5032,2.18314,1.68192,1.57629,0.28629,0.40686,0.29785,0.10402,2.16483,1.98168,1.79712,0.00150197,0.00150197,0.00150197
22,81.1188,2.17619,1.68093,1.55177,0.31799,0.3641,0.26958,0.09623,2.18856,1.86044,1.77371,0.00149372,0.00149372,0.00149372
23,84.751,2.14911,1.70005,1.55502,0.32988,0.37996,0.337,0.12514,2.1285,1.80132,1.6954,0.00148546,0.00148546,0.00148546
24,88.398,2.12593,1.59681,1.52927,0.44873,0.41882,0.36418,0.13049,2.11812,1.93944,1.72737,0.00147721,0.00147721,0.00147721
25,92.03,2.10551,1.59763,1.54791,0.51513,0.4181,0.41411,0.15699,2.06587,1.66468,1.71806,0.00146896,0.00146896,0.00146896
26,95.716,2.14194,1.54849,1.52777,0.47499,0.38006,0.39176,0.1452,2.13197,1.634,1.75241,0.00146071,0.00146071,0.00146071
27,99.3453,2.07614,1.52091,1.52078,0.54392,0.42592,0.43022,0.16362,2.10568,1.60336,1.69586,0.00145246,0.00145246,0.00145246
28,103.011,2.12169,1.49087,1.51578,0.49227,0.42113,0.42251,0.16796,2.05187,1.56593,1.67601,0.00144421,0.00144421,0.00144421
29,106.674,2.10012,1.50706,1.49748,0.494,0.4004,0.36801,0.13766,2.10611,1.70454,1.73562,0.00143595,0.00143595,0.00143595
30,110.27,2.07182,1.50032,1.51152,0.5158,0.47041,0.41862,0.1511,2.08448,1.62088,1.71095,0.0014277,0.0014277,0.0014277
31,113.899,2.08256,1.50512,1.51437,0.38404,0.48054,0.41187,0.16489,2.07021,1.64395,1.71292,0.00141945,0.00141945,0.00141945
32,117.517,2.07512,1.49986,1.50801,0.44599,0.44407,0.42227,0.16727,2.0907,1.58495,1.67619,0.0014112,0.0014112,0.0014112
33,121.123,2.04798,1.49461,1.50344,0.51288,0.42291,0.41677,0.15732,2.09592,1.5707,1.6733,0.00140295,0.00140295,0.00140295
34,124.763,2.04691,1.4105,1.44476,0.56259,0.42113,0.40935,0.14499,2.11985,1.61135,1.73019,0.0013947,0.0013947,0.0013947
35,128.378,2.06108,1.4839,1.49872,0.44013,0.46045,0.42723,0.17404,1.99184,1.54445,1.63014,0.00138644,0.00138644,0.00138644
36,132.017,2.03569,1.435,1.48397,0.47197,0.4612,0.44206,0.17542,2.0152,1.54929,1.66372,0.00137819,0.00137819,0.00137819
37,135.64,2.00691,1.44403,1.46352,0.42817,0.41794,0.3896,0.16288,2.03972,1.65091,1.66439,0.00136994,0.00136994,0.00136994
38,139.253,1.99866,1.42264,1.45924,0.42516,0.38389,0.36391,0.13676,2.19884,1.72628,1.77726,0.00136169,0.00136169,0.00136169
