epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.8455,4.13618,5.03132,2.98405,0.00217,0.09171,0.00662,0.0019,4.74582,3.95989,3.31367,0.00018337,0.00018337,0.00018337
2,7.87139,3.30973,3.21401,2.3274,0.00308,0.0925,0.00347,0.00137,4.83361,4.69216,3.65285,0.000381512,0.000381512,0.000381512
3,11.7765,2.68613,2.4312,1.86007,0.0018,0.02241,0.00129,0.00044,4.59866,4.2747,3.62474,0.000577674,0.000577674,0.000577674
4,15.6462,2.50621,2.11529,1.74533,0.00056,0.00638,0.00051,0.00019,3.91589,3.91072,3.24006,0.000771855,0.000771855,0.000771855
5,19.5158,2.42315,2.0506,1.66244,0.02762,0.16045,0.02047,0.00628,3.02261,3.65466,2.58287,0.000964056,0.000964056,0.000964056
6,23.4011,2.40942,1.94284,1.64079,0.19175,0.42297,0.18611,0.06368,2.65415,3.16563,2.1948,0.00115428,0.00115428,0.00115428
7,27.2514,2.31943,1.9284,1.63866,0.0682,0.43222,0.12161,0.04296,2.61527,3.04026,2.33912,0.00134252,0.00134252,0.00134252
8,31.0718,2.34593,2.18456,1.61973,0.02249,0.21037,0.02673,0.00879,2.72036,3.80247,2.45859,0.00152878,0.00152878,0.00152878
9,34.9123,2.411,2.11646,1.62088,0.02779,0.26005,0.04586,0.01564,2.72358,3.6513,2.32214,0.00160099,0.00160099,0.00160099
10,38.7443,2.35398,1.94456,1.59288,0.17178,0.05287,0.05509,0.01747,3.19287,3.40191,2.64699,0.00159274,0.00159274,0.00159274
11,42.6236,2.33173,2.21143,1.66939,0.68844,0.2799,0.21758,0.06125,2.35792,2.4895,2.00319,0.00158448,0.00158448,0.00158448
12,46.5218,2.37348,1.99907,1.69587,0.38847,0.21602,0.15004,0.04508,2.4414,2.31651,1.96746,0.00157623,0.00157623,0.00157623
13,50.3599,2.25032,1.81109,1.64369,0.729,0.26874,0.28452,0.10513,2.18262,2.18593,1.73495,0.00156798,0.00156798,0.00156798
14,54.2716,2.22645,1.71074,1.5215,0.31636,0.40048,0.22714,0.07139,2.2763,2.02445,1.82741,0.00155973,0.00155973,0.00155973
15,58.119,2.16785,1.70928,1.53136,0.33378,0.43358,0.33721,0.11687,2.2888,1.85219,1.71613,0.00155148,0.00155148,0.00155148
16,61.9757,2.17696,1.601,1.50807,0.31259,0.37807,0.29628,0.10689,2.32575,1.96331,1.76274,0.00154323,0.00154323,0.00154323
17,65.8383,2.24424,1.67393,1.57699,0.27125,0.25678,0.27921,0.10286,2.24015,1.88827,1.79651,0.00153497,0.00153497,0.00153497
18,69.6826,2.1542,1.61264,1.52038,0.26817,0.28923,0.29144,0.10828,2.19599,2.01353,1.78757,0.00152672,0.00152672,0.00152672
19,73.5633,2.12248,1.62691,1.52275,0.41678,0.30955,0.32252,0.1096,2.31308,1.85468,1.76867,0.00151847,0.00151847,0.00151847
20,77.4441,2.14815,1.59942,1.50826,0.3401,0.36053,0.33444,0.11932,2.23403,1.8325,1.67684,0.00151022,0.00151022,0.00151022
21,81.3533,2.12889,1.57003,1.48408,0.65282,0.48931,0.43899,0.15829,2.14714,1.80542,1.63355,0.00150197,0.00150197,0.00150197
22,85.2364,2.11262,1.53873,1.46715,0.45083,0.424,0.42111,0.14979,2.22227,1.63914,1.69926,0.00149372,0.00149372,0.00149372
23,89.094,2.07361,1.52159,1.48291,0.44556,0.38812,0.37073,0.14274,2.1579,1.63757,1.6616,0.00148546,0.00148546,0.00148546
24,92.9342,2.07666,1.4803,1.48345,0.3877,0.46093,0.36662,0.14701,2.10765,1.60501,1.66428,0.00147721,0.00147721,0.00147721
25,96.7687,2.0497,1.48616,1.4739,0.39151,0.43796,0.39054,0.15509,2.11756,1.5671,1.61762,0.00146896,0.00146896,0.00146896
26,100.647,2.09201,1.43845,1.43141,0.37789,0.45319,0.37208,0.1423,2.1251,1.5679,1.63601,0.00146071,0.00146071,0.00146071
27,104.533,2.09296,1.4553,1.46694,0.33011,0.42952,0.39467,0.14164,2.08231,1.73409,1.64129,0.00145246,0.00145246,0.00145246
28,108.417,2.07694,1.44444,1.43032,0.37216,0.47711,0.38877,0.15572,2.07205,1.69943,1.58623,0.00144421,0.00144421,0.00144421
29,112.307,2.06097,1.46224,1.43819,0.37535,0.42509,0.32054,0.11724,2.15923,1.67776,1.65946,0.00143595,0.00143595,0.00143595
30,116.141,2.01038,1.41788,1.43621,0.42331,0.40941,0.36043,0.12017,2.27443,1.70351,1.7631,0.0014277,0.0014277,0.0014277
31,120.002,2.11178,1.44206,1.47829,0.41666,0.34389,0.3943,0.15156,2.12675,1.67796,1.62131,0.00141945,0.00141945,0.00141945
32,123.858,2.10692,1.43827,1.46253,0.37392,0.49721,0.39108,0.14041,2.31569,1.59041,1.75676,0.0014112,0.0014112,0.0014112
33,127.703,2.04802,1.41771,1.44013,0.33697,0.53455,0.41755,0.1679,2.03122,1.49069,1.53985,0.00140295,0.00140295,0.00140295
34,131.616,2.08729,1.38921,1.42464,0.33021,0.36156,0.38158,0.15211,2.05292,1.59472,1.58898,0.0013947,0.0013947,0.0013947
35,135.479,2.03465,1.46641,1.43913,0.32262,0.43626,0.34732,0.13265,2.14217,1.64623,1.67099,0.00138644,0.00138644,0.00138644
36,139.329,2.01079,1.42921,1.43689,0.33771,0.39303,0.35992,0.13551,2.12437,1.60875,1.64945,0.00137819,0.00137819,0.00137819
37,143.159,2.04081,1.45278,1.43293,0.44862,0.46093,0.42792,0.16375,2.06903,1.52533,1.62342,0.00136994,0.00136994,0.00136994
38,147.012,2.03329,1.41582,1.43274,0.35438,0.46062,0.39591,0.14656,2.16178,1.57493,1.69619,0.00136169,0.00136169,0.00136169
39,150.823,1.99584,1.386,1.43374,0.3481,0.48836,0.39737,0.15855,2.08321,1.52449,1.59504,0.00135344,0.00135344,0.00135344
40,154.637,1.97331,1.36696,1.41783,0.34631,0.45936,0.39956,0.16434,2.06862,1.50752,1.58465,0.00134519,0.00134519,0.00134519
41,158.471,1.9712,1.34124,1.39683,0.33706,0.54293,0.41809,0.1619,2.09958,1.47023,1.61034,0.00133693,0.00133693,0.00133693
42,162.292,1.95806,1.40867,1.38674,0.34546,0.537,0.43871,0.17199,2.08625,1.46905,1.584,0.00132868,0.00132868,0.00132868
43,166.166,1.95864,1.37499,1.38684,0.40686,0.49474,0.42994,0.16336,2.11187,1.48061,1.6052,0.00132043,0.00132043,0.00132043
44,170.005,1.95386,1.3008,1.33888,0.42381,0.47257,0.4196,0.15522,2.12835,1.49272,1.61929,0.00131218,0.00131218,0.00131218
45,173.861,2.02277,1.35299,1.43423,0.36588,0.53907,0.41886,0.17313,1.99582,1.43815,1.51206,0.00130393,0.00130393,0.00130393
46,177.722,1.94748,1.3062,1.37499,0.38961,0.50534,0.41196,0.16037,2.09337,1.45871,1.60336,0.00129568,0.00129568,0.00129568
47,181.564,1.96248,1.35184,1.39574,0.44428,0.44418,0.43418,0.17837,2.01557,1.46905,1.53404,0.00128742,0.00128742,0.00128742
48,185.439,1.98896,1.31978,1.38605,0.45619,0.45491,0.43906,0.18014,2.01544,1.47548,1.53284,0.00127917,0.00127917,0.00127917
49,189.354,1.96558,1.32156,1.35161,0.43343,0.40989,0.36881,0.12593,2.25471,1.58453,1.72043,0.00127092,0.00127092,0.00127092
50,193.21,1.93662,1.30253,1.34646,0.49474,0.42376,0.40516,0.15766,2.10346,1.53221,1.62072,0.00126267,0.00126267,0.00126267
51,197.066,1.92553,1.28138,1.3361,0.47325,0.48047,0.44605,0.18299,2.03573,1.47308,1.55533,0.00125442,0.00125442,0.00125442
52,200.941,1.90406,1.27651,1.3519,0.50833,0.42663,0.42994,0.16942,2.10288,1.5444,1.6122,0.00124617,0.00124617,0.00124617
53,204.79,1.91918,1.26887,1.3586,0.47053,0.50718,0.45164,0.17996,2.05412,1.44577,1.54776,0.00123791,0.00123791,0.00123791
54,208.623,1.94532,1.25594,1.35388,0.41528,0.54351,0.42831,0.16321,2.09825,1.43719,1.58461,0.00122966,0.00122966,0.00122966
55,212.442,1.90439,1.25873,1.36095,0.48203,0.44641,0.44453,0.18148,2.01902,1.47164,1.53818,0.00122141,0.00122141,0.00122141
56,216.306,1.93205,1.27086,1.35126,0.53485,0.43365,0.44349,0.18422,2.00412,1.46887,1.54547,0.00121316,0.00121316,0.00121316
57,220.194,1.90685,1.28048,1.35524,0.37822,0.51077,0.40439,0.14655,2.12739,1.49195,1.6296,0.00120491,0.00120491,0.00120491
58,224.043,1.92573,1.33271,1.36927,0.42769,0.53757,0.45577,0.17533,2.05846,1.41527,1.57945,0.00119666,0.00119666,0.00119666
