epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.86713,7.85281,9.47165,5.85085,7e-05,0.00455,4e-05,0,6.85573,8.63712,5.43417,0.00018337,0.00018337,0.00018337
2,9.86321,5.8784,6.37878,4.05984,0.00146,0.09545,0.00552,0.00275,8.70448,8.42176,7.10059,0.000381512,0.000381512,0.000381512
3,14.7453,5.05122,5.19818,3.51557,0,0,0,0,7.27952,26.187,6.24239,0.000577674,0.000577674,0.000577674
4,19.5702,4.85684,4.77808,3.38414,0.01347,0.15072,0.00879,0.00341,5.18272,8.66041,4.65366,0.000771855,0.000771855,0.000771855
5,24.4147,4.70632,4.46175,3.27243,0.05688,0.37249,0.09242,0.03124,4.94631,5.6348,4.57553,0.000964056,0.000964056,0.000964056
6,29.2605,4.74824,4.42281,3.33239,0.62816,0.16667,0.10425,0.03249,4.82803,6.08901,4.3081,0.00115428,0.00115428,0.00115428
7,34.0477,4.61633,4.61993,3.30834,0.39668,0.1775,0.19422,0.0604,4.89088,6.40576,4.09451,0.00134252,0.00134252,0.00134252
8,38.8434,4.47934,4.20875,3.16893,0.05222,0.45351,0.1481,0.04707,4.68611,5.3425,3.93755,0.00152878,0.00152878,0.00152878
9,43.6605,4.46914,4.36428,3.12347,0.70187,0.20335,0.16722,0.05556,4.69594,5.06669,3.85095,0.00160099,0.00160099,0.00160099
10,48.445,4.46715,4.08339,3.11969,0.2921,0.28182,0.21198,0.06769,4.73562,5.72586,3.8271,0.00159274,0.00159274,0.00159274
11,53.2718,4.53548,3.99778,3.21006,0.13782,0.15715,0.09323,0.02497,5.56841,6.37304,4.63151,0.00158448,0.00158448,0.00158448
12,58.0771,4.85447,4.36354,3.35855,0.24082,0.28581,0.1955,0.05455,4.77038,4.74593,4.13963,0.00157623,0.00157623,0.00157623
13,62.8017,4.46597,4.1854,3.25494,0.37474,0.33565,0.30297,0.09199,4.58708,6.63621,3.7475,0.00156798,0.00156798,0.00156798
14,67.6394,4.54136,4.09718,3.05416,0.62475,0.29697,0.3462,0.11133,4.32636,5.58566,3.51743,0.00155973,0.00155973,0.00155973
15,72.46,4.3538,4.22118,3.07548,0.42903,0.26778,0.21299,0.06127,4.23566,5.77685,3.44986,0.00155148,0.00155148,0.00155148
16,77.2261,4.38863,4.18685,3.08754,0.13529,0.25335,0.09419,0.02922,4.40138,6.27786,3.59044,0.00154323,0.00154323,0.00154323
17,82.0433,4.38849,4.07387,3.12516,0.36073,0.35869,0.3606,0.12017,4.26846,4.22814,3.51284,0.00153497,0.00153497,0.00153497
18,86.8277,4.28883,3.86721,3.00384,0.34266,0.35441,0.31867,0.10045,4.35582,4.3747,3.60458,0.00152672,0.00152672,0.00152672
19,91.6852,4.32672,3.81908,3.06903,0.22848,0.31694,0.21598,0.06548,4.62455,4.30303,3.69359,0.00151847,0.00151847,0.00151847
20,96.5454,4.48368,3.59723,3.06175,0.29666,0.27496,0.23346,0.0725,4.57407,4.2973,3.54931,0.00151022,0.00151022,0.00151022
21,101.386,4.43333,3.53232,2.97886,0.48411,0.36707,0.35063,0.11208,4.36586,3.7782,3.32711,0.00150197,0.00150197,0.00150197
22,106.181,4.29145,3.41734,2.91482,0.44097,0.41459,0.40155,0.12403,4.36978,3.58005,3.35957,0.00149372,0.00149372,0.00149372
23,111.025,4.23895,3.43072,2.98506,0.40273,0.35106,0.34624,0.1164,4.38742,3.58975,3.4845,0.00148546,0.00148546,0.00148546
24,115.815,4.17604,3.31482,2.92745,0.42818,0.37727,0.37388,0.12702,4.1612,3.52342,3.30759,0.00147721,0.00147721,0.00147721
25,120.588,4.12933,3.30693,2.95143,0.28618,0.35774,0.25921,0.09088,4.46845,3.85601,3.55519,0.00146896,0.00146896,0.00146896
26,125.451,4.23023,3.24398,2.88386,0.26122,0.29458,0.18583,0.05778,4.75304,4.28583,3.70461,0.00146071,0.00146071,0.00146071
27,130.312,4.14648,3.18324,2.89992,0.57003,0.4025,0.40006,0.13239,4.21995,3.619,3.40988,0.00145246,0.00145246,0.00145246
28,135.199,4.13251,3.14506,2.84301,0.46044,0.44885,0.38771,0.13676,4.11636,3.86225,3.25019,0.00144421,0.00144421,0.00144421
29,140.086,4.1311,3.10372,2.83798,0.28339,0.29617,0.22911,0.06821,5.0331,4.29024,4.14276,0.00143595,0.00143595,0.00143595
30,144.867,4.31172,3.14982,3.02063,0.3728,0.33716,0.30741,0.11053,4.31538,3.7753,3.57506,0.0014277,0.0014277,0.0014277
31,149.699,4.15073,3.08593,2.91061,0.45738,0.36321,0.39931,0.11825,4.43911,3.63299,3.6564,0.00141945,0.00141945,0.00141945
32,154.518,4.10669,3.07237,2.88162,0.5589,0.43221,0.45855,0.16413,4.02558,3.31948,3.3056,0.0014112,0.0014112,0.0014112
33,159.333,4.04332,3.04023,2.89276,0.41974,0.44168,0.39241,0.12945,4.37911,3.50939,3.57926,0.00140295,0.00140295,0.00140295
34,164.195,4.06307,2.95316,2.74957,0.36105,0.4299,0.29958,0.09089,4.60833,4.05973,3.6951,0.0013947,0.0013947,0.0013947
35,169.001,4.12512,3.34601,2.84437,0.44319,0.47329,0.38617,0.1349,4.33678,3.34493,3.41253,0.00138644,0.00138644,0.00138644
36,173.788,4.17146,3.03578,2.89104,0.48906,0.48238,0.38559,0.12759,4.42501,3.3341,3.60982,0.00137819,0.00137819,0.00137819
